id	filename	md5	size	state
996c69b3-c15a-41bb-8105-f2b4a5b40325	e84e23ef-7bf2-4770-8193-a058dcd4c61a.rna_seq.augmented_star_gene_counts.tsv	132e66f1dfc71bde0e87753c282cc281	4229446	released
9bb7ecfe-5823-411f-8962-3a23015abb3c	6c975753-106b-45bb-bf7d-146740004db1.rna_seq.star_splice_junctions.tsv.gz	3f1298444d5cf90d3db56b7aa1551ca3	3043125	released
b04079c9-96a5-434a-814a-7f71cb428d77	TCGA-ESCA.97b23926-3a64-4ba3-a9de-fe11a9a6027e.arriba.rna_fusion.tsv	d6847848093d89394a0aee0e35f8ab39	181636	released
36e77da0-9cd3-4e22-b27d-e32afb9c84a4	TCGA-ESCA.827dde23-868a-41ff-9e7a-409c18cf8eb7.arriba.rna_fusion.bedpe	864aa0efd0be0d989dac8c6c0a391f37	5063	released
c7985505-df33-4c0e-98bb-188003ea701f	6c975753-106b-45bb-bf7d-146740004db1.rna_seq.augmented_star_gene_counts.tsv	54f2b3f15dcbb84841f125db54f2f84d	4254185	released
b07bd778-d765-46c0-b3c7-c90fc3ffe019	6c975753-106b-45bb-bf7d-146740004db1.rna_seq.genomic.gdc_realn.bam	ee53db9fc8b072b16b76f7d449e22457	14129608807	released
fadc3818-0bd9-4894-9d62-7739eb60be21	TCGA-ESCA.37b625ae-9c45-40a1-a131-dea7e8f00e39.star_fusion.rna_fusion.tsv	b1afeba0fb7f76577dd6942a72137537	234	released
2157bb43-81e0-452b-bbac-08ce3758673d	e84e23ef-7bf2-4770-8193-a058dcd4c61a.rna_seq.star_splice_junctions.tsv.gz	38eb0e24447a42458e7b42edc33ac79d	2928706	released
ae26ac1a-e0f4-4bde-9380-26a31ed9afea	TCGA-ESCA.37b625ae-9c45-40a1-a131-dea7e8f00e39.star_fusion.rna_fusion.bedpe	6e5690795ff424264402ab9d2661b62b	229	released
53f595e4-8d01-4bbb-abcf-e42988046008	TCGA-ESCA.5d4e748d-686c-46e3-8546-d5f2dbe9bc90.star_fusion.rna_fusion.tsv	5c24d990e6eb3d80b315a9f127dab35e	3253	released
c149fc0d-3759-409d-91ac-29d399655e2f	b9d0b10e-59d7-4e06-a3e4-c29ed9d681d6.rna_seq.augmented_star_gene_counts.tsv	acbd5b1a613f320f88cc4c73867329e5	4257409	released
22dfbe8f-0ee3-4bd8-a22d-dd3271edf051	8ec0b023-cc75-4254-80ba-9550ccce5fd1.rna_seq.star_splice_junctions.tsv.gz	49226f37c1ea098e769ab7aa6fe5cd4e	2741401	released
75429fcb-b906-4008-a36d-877bf235dd35	8ec0b023-cc75-4254-80ba-9550ccce5fd1.rna_seq.augmented_star_gene_counts.tsv	1fd0c30968c788ca6b122ec3020ef397	4215498	released
4e121f42-f00b-43a3-82d7-37c31790ba2c	b9d0b10e-59d7-4e06-a3e4-c29ed9d681d6.rna_seq.chimeric.gdc_realn.bam	d68b249f4905c177a36229cdcc333917	557585563	released
